Justiça#Tribunal#UF#Tipo de unidade#Classificação da unidade#Código#Unidade Judiciária#Município sede#Telefone#CEP#Endereço#Unidades Judiciárias#Estoque#Taxa de congestionamento líquida#Taxa de congestionamento total
Total###########1.124#1.519.657#58,9%#62,6%
Justiça Estadual#Total##########1.103#1.475.089#58,7%#62,2%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#4922#18º VARA DO JUIZADO ESPECIAL CRIMINAL#MANAUS#(092) 3643-2089#69.058-040#RUA MARQUÊS DE MONTE ALEGRE, 1400, CENTRO UNIVERSITÁRIO NILTON LINS  PARQUE DAS LARANJEIRAS#1#6#18,2%#18,2%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#4921#17º VARA DO JUIZADO ESPECIAL CRIMINAL#MANAUS#(092) 3212-6257#69.010-300#RUA ALEXANDRE AMORIM, 285, 3º ANDAR,  FÓRUM DES MÁRIO VERÇOSA APARECIDA#1#51#16,9%#16,9%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#4923#19º VARA DO JUIZADO ESPECIAL CRIMINAL#MANAUS#(092) 2127-7516#69.010-300#AVENIDA AUTAZ MIRIM, SNº,  FÓRUM DES AZARIAS MENESCAL DE VASCONCELOS  JORGE TEIXEIRA#1#7#5,0%#8,4%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#4920#15º VARA DO JUIZADO ESPECIAL CRIMINAL#MANAUS#(092) 3212-6239#69.010-300#RUA ALEXANDRE AMORIM, 285, 2º ANDAR,  FÓRUM DES MÁRIO VERÇOSA APARECIDA#1#67#57,9%#58,3%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#4917#13º VARA DO JUIZADO ESPECIAL CRIMINAL#MANAUS#(092) 3212-6225#69.010-300#RUA ALEXANDRE AMORIM, 285, 2º ANDAR,  FÓRUM DES MÁRIO VERÇOSA APARECIDA#1#41#33,1%#33,1%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#75555#3° JUIZADO ESPECIALIZADO NO COMBATE A VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER#MANAUS#(092) 3303-5009#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 3  FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#3.575#28,7%#39,3%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4814#11ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5191#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#2.718#78,5%#84,5%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4812#10ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5144#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#3.090#85,9%#90,6%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4810#9ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5283#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#1.927#67,4%#81,5%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4806#6ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5270#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#2.510#73,6%#80,0%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4807#7ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5168#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#2.295#80,1%#83,1%
Justiça Estadual#TJAM#AM#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#4809#8ª VARA CRIMINAL DA CAPITAL#MANAUS#(092) 3303-5141#69.079-265#AVENIDA HUMBERTO CALDERARO, SN, 5º ANDAR SETOR 1 FORUM MINISTRO HENOCH REIS SÃ£O FRANCISCO#1#2.332#83,5%#91,3%
